song_id,title,artist,lyrics,genre,year,source,scraped_at
11,Her Yerde Kar Var,ADAMO,\'Her Yerde Kar Var Adamo\r\n\r\nAm \r\nHer yerde kar var kalbim senin bu gece\r\n \r\nHer yerde kar var kalbim serin bu gece\r\nA7 \r\nBelki gelirsin sen bakarken pencereden\r\n \r\nGözler yalniz özler karda senden izler\r\n\r\n \r\nYürümek karda zordur gelirsen bak ask budur\r\n \r\nDönsen köseden söyle sarki söylerim ben de\r\nDm \r\nLa lalala la lala la lala hm hm hmhm hm hmhm hm hmhm\r\n\r\n\r\nYagma kar dur artik bak buz oldu kalbim\r\n\r\nHer sey senin elinde kos belki gelirsin\r\nAm \r\nGözyasim dur düsme gelmeyecek düsünme\r\n \r\nKes aglamayi artik bak oldu bana yazik\r\n \r\nKarda zordur yürümek anladim gelmeyecek\r\n \r\nDünya oldu bana dar neden yagdin söyle kar\r\n \r\nDünya oldu bana dar bak ne yaptin bana kar\r\n\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.279480
12,Kış Masalı (Orjinal Ton),Adem Gümüşkaya,\'Giriş: # - - # - - - # - - - #\r\n\r\nCm# # )\r\nAdını dağlara yazdım yarim Buğulu camlara kazdım \r\nE # # )\r\nKışın masal dinlemek zor yarim Hem ağladım hem anlattım )\r\n\r\nA # #\r\nGözyaşım kederden miydi yarim Çektiğim kaderden miydi\r\nA # # \r\nİçtim hep ona sarıldım yarim Tek dostum kadehler miydi\r\n\r\nCm# # )\r\nÖzledim gitme deseydin yarim Bırakma etme deseydin \r\nE # # )\r\nŞimdi ardıma bakmazdım yarim Elini tutabilseydim )\r\n\r\nCm# - - # - - - # - - - # \r\n\r\nA # # \r\nGülmeyen gözler ıslaktı yarim Benim hayalim vuslattı \r\nA # # \r\nSeni sensiz yaşamak zor yarim Beni de Allah yarattı\r\n\r\nCm# # )\r\nAşka tövbe etmekte zor yarim Bir daha böyle sevmekte ) Bıkana Kadar\r\nE # # ) Tekrar\r\nÖmrümde bir kere yandı kalbim Bu canı sana vermekle )\r\n\r\n\r\n\r\n\r\n\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.279631
13,TEK SEN KALMISTIN,ADEM YURTSEVER,\'\r\nAM DM\r\nBİR TEK SEN KALMIŞTIN \r\nG EM\r\nİNANDIĞIM BU DUNYADA \r\nAM DM\r\nSENDE TERK EDİP BIRAKTIN\r\nG EM\r\nBENİ YALNIZ BASIMA\r\n\r\nAM \r\nAMA YINE SORSAM BEBEK\r\nG EM\r\nSOYLERMISIN BANA\r\nAM \r\nSOYLERMISIN SEVDIĞINI \r\nG EM\r\nBIR DAHA \',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.279677
14,GEL YANIMA,ADEM YURTSEVER,"\' \r\nYİNE GÜNLER GEÇTİ BAK \r\n \r\nYENİSİ GELİR ÇABUCAK AMA SEN EYLENMENE,EYLENMENE BAK!\r\n \r\nYALANCI SÖZLERE KANMADAN\r\n \r\nÇOCUKÇA ALDANMADAN SEN KEYFİNE SEN KEYFİNE BAK!\r\n\r\n\r\nG \r\nGEL YANIMA \r\nD \r\nHADİ DURMADAN GİR KANIMA!\r\n\r\n\r\n\'",arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.279729
15,aman aman,adilhan,\' \r\nnereye gider basını alıp sorarsın\r\nF#m \r\nkimbilir durmadan nasıl susarsın\r\nF#m \r\nbilmeden bosuna atıp tutarsın\r\nF#m \r\nsu gibi akıp geçer zaman\r\n\r\nF#m \r\ngezdin tozdun AMAN AMAN\r\nF#m \r\nsazdın sözdun AMAN AMAN\r\nF#m \r\ngiderek üzdün bizi zaman\r\n\r\nF#m \r\nyazdın çizdin AMAN AMAN\r\nF#m \r\nincecik izdin AMAN AMAN\r\nF#m \r\nsıraya dizdin bizi zaman\r\n\r\n\r\nF#m \r\nhep kacıp yeni bir adım atarken\r\nF#m \r\ndibine kadar çileye batıp çıkarken\r\nF#m \r\niçine atıp atıp yoluna basıp giderken\r\nF#m \r\nsu gibi akıp gecer zaman\r\n\r\n\r\n\r\nF#m \r\ngezdin tozdun AMAN AMAN\r\nF#m \r\nsazdın sözdun AMAN AMAN\r\nF#m \r\ngiderek üzdün bizi zaman\r\n\r\nF#m \r\nyazdın çizdin AMAN AMAN\r\nF#m \r\nincecik izdin AMAN AMAN\r\nF#m \r\nsıraya dizdin bizi zaman\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.279824
42,ÇİĞDEM ÇİÇEK,Ahmet Kaya,\'ÇİĞDEM ÇİÇEK\r\n\r\nINTRO :\r\n\r\nB \r\nAYLAR OLDU YILLAR OLDU BEN YÜZÜNÜ GÖRMEDİM\r\n \r\nSOLO \r\nB \r\nAYLAR OLDU YILLAR OLDU BEN YÜZÜNÜ GÖRMEDİM\r\nEm \r\nYÜZÜNE HASRET KALDIM KIZ YÜZÜNE YÜZÜM SÜRMEDİM\r\n\r\nB \r\nGÜLEN AYA SORDUM SENİ KÜSTÜ YÜZÜNÜ SAKLADI\r\nB \r\nYILDIZLARA SORDUM SENİ YÜZÜME BİLE BAKMADI\r\nB \r\nGÜLEN AYA SORDUM SENİ KÜSTÜ YÜZÜNÜ SAKLADI\r\nEm \r\nYILDIZLARA SORDUM SENİ YILDIZLAR KAN AĞLADI\r\n \r\nSOLO-2- \r\n\r\nB \r\nAKŞAM OLUR AY GECEDE ÇİĞDEM ÇİÇEK ŞENLENİR\r\n \r\nSOLO \r\nB \r\nAKŞAM OLUR AY GECEDE ÇİĞDEM ÇİÇEK ŞENLENİR\r\nEm \r\nVALLAH DÜŞÜNMESEM SENİ DERDİME DERT EKLENİR\r\n\r\nB \r\nBIÇAK SAPLADIN SİNEME ESKİDİ YARALARIM\r\nB \r\nSABAH OLSUN GELME EĞER KENDİMİ YARALARIM\r\nB \r\nBIÇAK SAPLADIN SİNEME ESKİDİ YARALARIM\r\nEm \r\nSABAH OLSUN GELME EĞER KENDİMİ YARALARIM\r\n\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.280093
43,Siire Gazele,Ahmet Kaya,"\' \r\nSenin eşkin meni düşürdü dile )\r\nDm \r\nNeçe aşık olur bülbüller güle )\r\n\r\nDm \r\nHasret çektim gönül verdim )\r\nBb \r\nSeni sevdim meeeen )\r\n\r\nAm )\r\nBöyle bir gözele , eşkimi tezele )\r\nDm )\r\nŞiire gazele ) a2\r\nC )\r\nGönül verdim men )\r\nBb )\r\nŞiire gazele )\r\n\r\nDm \r\nEyer menden ayrı gezip dolaşır )\r\nDm \r\nMenim bu eşkime igane kalsın )\r\n\r\nDm \r\nAlışaram hem yanaram )\r\nBb \r\nOt tutaram meeen )\r\n\r\nTekrar a2\r\n\r\n\'",folk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.280180
44,Ada Sahilleri,Ahmet Kaya,\'\r\nAda sahillerinde bekliyorum\r\nAm \r\nHer zaman yollarını gözlüyorum\r\nDm \r\nSeni senden güzelim istiyorum\r\nA \r\nBeni şadet şadiye başın için\r\n\r\nAm\r\nHer zaman sen yalancı ben kagur\r\nAm \r\nHer zaman orta yerde bir mani\r\nDm \r\nHer zaman sen uzakta ben müştak\r\nA \r\nHer tellakide bir hayalin berrak\r\n\r\nAm\r\nNerede o misgibi leylaklar\r\nAm \r\nSararıp solmak üzre yapraklar\r\nDm \r\nBana mesken olunca topraklar\r\nA \r\nBeni yadet güzelim başın için\r\n\r\n\r\n\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.280250
45,Acılara tutunmak,Ahmet Kaya,"\' \r\nAcı çekmek özgürlükse , özgürüz ikimizde \r\nEm \r\nO yuvasız çalıkuşu , bense kafeste kanarya \r\nEm \r\nO dolanşmış daldan dala , savurmuş yüreğini \r\nAm \r\nBen bölmüşüm yüreğimi , başkaldıran dizelere \r\n\r\nEm \r\nAramakmış oysa sevmek , özlemekmiş oysa sevmek \r\nEm \r\nBulup bulup yitirmekmiş , düşsel bir oyuncağı \r\nEm \r\nYalanmış hepsi yalan , yalanmış hepsi yalan \r\nB7 \r\nSevmek diye bir şey varmış , sevmekdiye bir şey yokmuş \r\n\r\nEm \r\nAcı çektim günlerce , acı çektim susarak \r\nEm \r\nŞu kısacık konuklukta , deprem kargaşasında \r\nEm \r\nYaşadım birkaç binyıl , acılara tutunarak \r\nAm \r\nAcı çekmek özgürlükse , özgürdük ikimizde \r\n\r\nEm \r\nAcılardan arta kalan , işte şu bakışlarmış \r\nEm \r\nUgu diye gözlerimde , gün batımı bulutlarmış \r\nEm \r\nYalanmış hepsi yalan, yalanmış hepsi yalan \r\nB7 \r\nSavrulup gitmek varmış , ayrı yörüngelerde\r\n\'",arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.280379
46,kafama sıkar gidrim,Ahmet Kaya,\'em\r\nartık seninle duramam\r\n f\r\nbu akşam çıkar giderim\r\nam g\r\nhesabım kasın mahşere\r\nf em\r\nelimi yıkar giderim\r\n\r\nem\r\nsen zahmet etme yerinden \r\n f\r\ngürültü yapmam derinden\r\nam g\r\nparmaklarımın üzerinden \r\nf em\r\nsu gibi akar giderim\r\n\r\nem\r\nartık sürersin bif sefa\r\n f\r\nne cismim kaldı ne cefa\r\nam g\r\nşikayet etmem bu defa \r\nf em\r\ndişimi sıkar gidrim\r\n\r\nem\r\nbozarmı sandın acılar\r\n f\r\nbelaya atlar giderim\r\nam g\r\nkurşun gibi mavzer gibi\r\nf em\r\ndağ gibi patlar giderim\r\n\r\nem\r\nezdirmm sana kendimi\r\n f\r\ngövdemi yakar giderim\r\nam g\r\nbeddua etmem üzülme\r\nf em\r\nkafama sıkar giderim \',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.280469
47,Giderim v1,Ahmet Kaya,"\'\r\nArtık seninle duramam, \r\n \r\nBu akşam çıkar giderim.\r\nAm \r\nHesabım kalsın mahşere,\r\nDm \r\nElimi yıkar giderim.\r\n\r\nEm\r\nSen zahmet etme yerinden,\r\n \r\nGürültü yapmam derinden,\r\nAm \r\nParmaklarımın üzerinden,\r\nDm \r\nSu gibi akar giderim.\r\n\r\nEm\r\nArtık sürersin bir sefa,\r\n \r\nNe cismim kaldı ne cefa,\r\nAm \r\nŞikayet etmem bu defa,\r\nDm \r\nDişimi sıkar giderim.\r\n\r\nEm\r\nBozar mı sandın acılar,\r\n \r\nBelaya atlar giderim,\r\nAm \r\nKurşun gibi mavzer gibi,\r\nDm \r\nDağ gibi patlar giderim.\r\n\r\nEm \r\nKaybetsem bile herşeyi,\r\n \r\nBu aşkı yırtar giderim,\r\nAm \r\nSinsice olmaz gidişim,\r\nDm \r\nKapıyı çarpar giderim.\r\n\r\nEm\r\nSana yazdığım şarkıyı,\r\n \r\nSazımdan söker giderim,\r\nAm \r\nBen ağlayamam bilirsin,\r\nDm \r\nYüzümü döker giderim.\r\n\r\nEm\r\nKöpeklerimden kuşumdan,\r\n \r\nYavrumdan cayar giderim,\r\nAm \r\nSenden aldığım ne varsa,\r\nDm \r\nYerine koyar giderim.\r\n\r\nEm\r\nEzdirmem sana kendimi,\r\n \r\nGövdemi yakar giderim,\r\nAm \r\nBeeddua etmem üzülme,\r\nDm \r\nKafama sıkar giderim.\r\n\r\n\'",arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.280613
48,Ayrılığın Hediyesi,Ahmet Kaya,\' \r\nŞimdi saat sensizin ertesi\r\n \r\nYıldız dolmuş gökyüzü ayaydın\r\nEm \r\nAvutulmuş çocuklar çoktan sustu\r\nAm \r\nBir ben kaldım bir ben kaldım\r\nF \r\nTenhasında gecenin avutulmamış ben\r\nEm \r\nŞimdi gözlerime ağlamayı öğrettin ki bu yaşlar\r\nAm \r\nUtangaç boynunun kolyesi olsun\r\n\r\nAm \r\nBuda benim sana buda benim sana ayrılırken hediyem olsun\r\n\r\nAm \r\nSoytarılık etmeden güldürebilmek seni\r\nEkmek çalmadan\r\nDoyurabilmek ve haksızlık etmeden doğan güneşe bütün\r\nAydınlıları içine süzebilmek gibi mülteci isteklerim oldu\r\nArasıra biliyorsun\r\nŞimdi iyi niyetlerimi bir bir\r\nYargılayıp asıyorum\r\nBu son olsun bu son olsun\r\n\r\n \r\nŞimdi saat yokluğun belası\r\n \r\nSensiz gelen sabaha günaydın\r\nEm \r\nİşi gücü olanlar çoktan gittiler\r\nAm \r\nBir ben kaldım bir ben kaldım\r\nF \r\nVoltasında gecenin hiç uyumamış ben\r\nEm \r\nŞimdi gözlerime ağlamayı öğrettin ki bu yaşlar\r\nAm \r\nUtangaç boynunun kolyesi olsun\r\nAm \r\nBuda benim sana buda benim sana ayrılırken hediyem olsun\r\n\r\nAm \r\nKafamı duvara vurmadan tanıyabilmek seni\r\nBeyninin içindekileri anlayabilmek ve yitirmeden yüzündeki \r\nanlık\r\nTebessümü\r\nBütün saatleri öylece dondurabilmek için\r\nÇıldırasıya parladım kendimi lanet olsun\r\nArtık sigarayı üç pakete çıkardım günde\r\nOlsun güzelim olsun ne olacaksa olsun\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.280789
49,Fabrika Kızı,Ahmet Kaya,\'Akorlar sırasıyla : \r\n\r\nAm\r\nGün doğarken her sabah\r\nG\r\nBir kız geçer kapımdan\r\nF\r\nKöşeyi dönüp kaybolur\r\nE\r\nBaşı önde yorgunca\r\n\r\n...\r\n\r\nritim : 2/4 lük\r\n\r\nilk akorum umarım beğenirsiniz ...\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.280830
50,Demedim mi Haydar?,Ahmet Kaya,\'\r\n \r\n Biz dağlarda keklik idik.\r\n \r\n Şimdi bu çöplükte karga olduk.\r\n \r\n Bizimde boyumuzu aştı bu şehir.\r\n 2.TEKRARDA)\r\n Yerlere serildik madara olduk.\r\n\r\n \r\n Demedim mi haydar demedimmi sana\r\n \r\n Bu istanbul yutar adamı\r\n \r\n Demedim mi haydar demedim mi söyle\r\n \r\n Bu şerefsiz geceler satar adamı.\r\n\r\n \r\n Biz umutlar yolcusuyduk\r\n \r\n Rakı sofrasında bir meze olduk.\r\n \r\n Bizimde harcımız değildi sevmek\r\n \r\n Yosmalar içinde kepaze olduk.\',arabesk,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.280917
51,amenna,Ahmet Kaya,\'\r\nyaşayanlar birgün ölür\r\n \r\nbir gün ölür elbette\r\nAm \r\nağaçlarla balıklarla \r\nF \r\nkuşlarla ben amenna\r\nEm\r\nağlayanlar birgün güler \r\n \r\nbir gün güler elbette\r\nAm \r\nuyanmakla anlamakla\r\nF \r\nbilmekle ben amenna\r\nEm\r\nkısa çöp uzun çöpten\r\n \r\nhakkını alır elbette\r\nAm \r\ndirenmekle kurtulmakla\r\nF \r\nbarışla ben amenna\r\n\r\nEm yerine \r\nAm yerine \r\nF yerine basılabilir\',rock,Unknown,turkce_akorlar.sql,2025-10-25T21:17:03.280975
